timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1586465452,-41.016,-34.668,-253.906,-94.238,0,0
1586465452,-158.203,-34.668,-179.199,-29.785,0,0
1586465452,-168.945,-35.156,-202.637,-26.367,0,0
1586465452,-55.176,-36.133,-256.836,-83.008,0,0
1586465452,-26.367,-39.551,-295.898,-103.516,0,0
1586465452,-118.652,-41.016,-431.152,-45.898,0,0
1586465452,-159.18,-42.969,-789.551,-11.719,0,0
1586465452,-75.684,-41.504,-740.723,-72.754,0,0
1586465452,-10.254,-35.645,-265.137,-125,0,0
1586465452,-91.797,-32.227,-247.07,-83.008,0,0
1586465452,-173.828,-34.18,-229.492,-37.109,0,0
1586465452,-98.633,-31.25,-125,-70.312,0,0
1586465452,5.859,-32.715,-188.477,-112.793,0,0
1586465452,-47.852,-39.062,-405.762,-88.867,0,0
1586465452,-166.992,-37.109,-382.812,-35.645,0,0
1586465452,-139.16,-34.18,-83.496,-42.969,0,0
1586465452,-27.832,-34.668,-137.207,-104.492,0,0
1586465452,-26.367,-35.645,-606.445,-108.887,0,0
1586465452,-125,-33.203,-768.555,-45.41,0,0
1586465452,-128.418,-27.832,-192.383,-21.973,0,0
1586465452,0,-30.273,-6.836,-68.848,0,0
1586465452,43.945,-34.18,-519.531,-87.891,0,0
1586465452,-50.781,-32.227,-581.543,-36.621,0,0
1586465452,-96.68,-30.273,-39.062,10.254,0,0
1586465452,-0.488,-33.691,-11.23,-24.414,0,0
1586465452,75.195,-30.762,-411.133,-70.312,0,0
1586465452,-3.906,-29.297,-446.777,-41.504,0,0
1586465452,-97.168,-30.273,-72.266,4.883,0,0
1586465452,-34.668,-31.738,-18.555,-19.531,0,0
1586465452,75.195,-32.715,-527.344,-76.66,0,0
1586465452,25.391,-31.25,-700.195,-62.5,0,0
1586465452,-96.68,-35.156,-252.93,-8.789,0,0
1586465452,-68.848,-35.156,-118.164,-5.859,0,0
1586465452,48.34,-32.715,-642.09,-71.289,0,0
1586465452,46.387,-34.18,-662.598,-101.562,0,0
1586465452,-69.336,-39.551,-158.203,-49.805,0,0
1586465452,-97.656,-43.945,-240.234,-23.926,0,0
1586465452,2.441,-41.016,-517.09,-65.43,0,0
1586465452,41.016,-36.133,-439.453,-95.215,0,0
1586465452,-48.828,-31.738,-222.168,-51.758,0,0
1586465452,-108.887,-31.738,-223.145,-9.277,0,0
1586465452,-24.902,-34.668,-549.316,-49.316,0,0
1586465452,51.27,-33.203,-590.332,-93.262,0,0
1586465452,-26.367,-30.762,-242.676,-64.453,0,0
1586465452,-136.23,-35.156,-411.621,-23.438,0,0
1586465452,-87.402,-32.715,-731.445,-46.387,0,0
1586465452,32.715,-28.809,-397.949,-102.051,0,0
1586465452,-1.465,-30.762,-291.504,-101.074,0,0
1586465452,-121.582,-28.809,-352.051,-41.504,0,0
1586465452,-113.281,-28.32,-201.172,-30.762,0,0
1586465452,0.977,-26.367,-137.207,-92.773,0,0
1586465452,9.766,-26.855,-312.012,-118.164,0,0
1586465452,-114.258,-24.902,-521.484,-66.895,0,0
1586465452,-151.367,-27.344,-541.504,-49.805,0,0
1586465452,-43.945,-27.344,-400.879,-97.656,0,0
1586465452,4.883,-27.344,-353.027,-143.066,0,0
1586465452,-91.797,-30.273,-745.605,-110.84,0,0
1586465452,-164.062,-32.227,-567.383,-70.801,0,0
1586465452,-78.125,-36.133,3.418,-105.469,0,0
1586465452,9.277,-32.715,-302.734,-142.09,0,0
1586465452,-58.105,-27.344,-469.727,-118.652,0,0
1586465452,-154.785,-27.832,-140.625,-70.312,0,0
1586465452,-108.887,-27.832,56.152,-83.008,0,0
1586465452,0.977,-29.297,-236.816,-146.973,0,0
1586465452,-19.531,-28.809,-458.496,-142.578,0,0
1586465452,-124.512,-28.32,-284.668,-62.5,0,0
1586465452,-114.746,-31.25,-266.602,-35.645,0,0
1586465452,-16.602,-35.645,-577.637,-93.262,0,0
1586465452,-3.906,-30.762,-883.301,-110.352,0,0
1586465452,-107.422,-29.785,-365.234,-57.129,0,0
1586465452,-147.461,-35.156,83.496,-23.438,0,0
1586465452,-49.316,-38.086,-220.215,-57.617,0,0
1586465452,15.137,-37.109,-384.766,-86.914,0,0
1586465452,-72.754,-34.18,-117.676,-31.25,0,0
1586465452,-168.457,-35.645,16.602,19.043,0,0
1586465452,-92.285,-34.18,-218.75,-13.184,0,0
