timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068788.721,-62.500,-141.602,-199.219,-41.504,0.000
1587068788.725,58.594,481.445,197.266,-21.484,0.000
1587068788.729,26.367,290.039,44.922,3.418,0.000
1587068788.733,-102.051,-265.625,-316.406,-10.254,0.000
1587068788.737,-91.309,-242.676,-337.891,-28.320,0.000
1587068788.741,41.992,23.438,-83.008,-19.531,0.000
1587068788.745,54.688,109.375,17.090,-3.418,0.000
1587068788.749,-76.660,-204.590,-291.016,-11.230,0.000
1587068788.753,-113.770,-344.727,-383.789,-29.785,0.000
1587068788.757,5.371,209.961,56.152,-18.555,0.000
1587068788.760,77.148,134.277,-22.461,-1.465,0.000
1587068788.764,-20.996,-441.406,-454.102,-3.418,0.000
1587068788.768,-130.371,-483.398,-459.473,-27.344,0.000
1587068788.772,-51.270,-235.840,-316.406,-40.039,0.000
1587068788.776,49.805,268.066,87.891,-32.227,0.000
1587068788.780,-7.812,382.812,169.434,-11.230,0.000
1587068788.784,-97.656,-62.988,-230.469,-17.090,0.000
1587068788.788,-65.918,-379.395,-417.480,-38.574,0.000
1587068788.792,37.109,96.680,-26.367,-42.969,0.000
1587068788.796,25.391,500.000,212.402,-25.879,0.000
1587068788.800,-89.844,139.160,-87.402,-25.879,0.000
1587068788.803,-85.938,-267.578,-362.793,-38.574,0.000
1587068788.807,23.438,-326.172,-265.137,-36.621,0.000
1587068788.811,40.527,309.082,132.324,-34.180,0.000
1587068788.815,-68.848,374.023,61.523,-30.762,0.000
1587068788.819,-116.699,-323.730,-384.277,-40.039,0.000
1587068788.823,-16.113,-112.305,-195.801,-49.316,0.000
1587068788.827,70.801,443.359,192.383,-26.367,0.000
1587068788.831,-9.277,223.145,31.738,-4.883,0.000
1587068788.835,-115.723,-653.809,-526.367,-20.996,0.000
1587068788.839,-55.176,-604.004,-379.883,-39.062,0.000
1587068788.842,45.898,507.812,251.953,-33.691,0.000
1587068788.846,-5.859,502.441,116.699,-11.719,0.000
1587068788.850,-111.816,-300.293,-268.066,-4.395,0.000
1587068788.854,-60.059,-302.246,-237.793,-13.184,0.000
1587068788.858,60.547,453.613,188.477,-28.320,0.000
1587068788.862,37.109,312.988,40.039,-16.113,0.000
1587068788.866,-86.426,-340.332,-352.539,-19.531,0.000
1587068788.870,-96.191,-341.797,-319.336,-39.062,0.000
1587068788.874,16.602,235.840,52.246,-35.156,0.000
1587068788.878,58.594,564.453,222.168,-17.090,0.000
1587068788.882,-30.762,-119.141,-197.266,-4.395,0.000
1587068788.885,-101.074,-623.535,-474.609,-23.438,0.000
1587068788.889,-23.438,-94.238,-116.211,-32.715,0.000
1587068788.893,64.941,426.270,198.730,-23.926,0.000
1587068788.897,-5.859,116.211,-28.809,-6.836,0.000
1587068788.901,-113.770,-272.461,-348.145,-24.414,0.000
1587068788.905,-51.758,-71.289,-209.473,-40.527,0.000
1587068788.909,65.918,252.930,56.152,-28.320,0.000
1587068788.913,14.160,14.648,-120.605,-11.719,0.000
1587068788.917,-110.840,-153.320,-252.930,-18.555,0.000
1587068788.921,-95.703,-32.715,-219.727,-42.969,0.000
1587068788.925,18.555,173.828,-13.672,-42.480,0.000
1587068788.928,19.531,114.258,-4.395,-22.949,0.000
1587068788.932,-90.820,-268.066,-282.715,-16.113,0.000
1587068788.936,-109.375,-247.070,-291.504,-31.250,0.000
1587068788.940,-4.883,-173.340,-269.531,-26.367,0.000
1587068788.944,28.809,-242.188,-213.867,-20.020,0.000
1587068788.948,-79.102,64.941,17.090,-42.480,0.000
1587068788.952,-140.625,-110.840,-249.023,-57.617,0.000
1587068788.956,-44.434,-142.090,-264.160,-56.641,0.000
1587068788.960,38.574,319.336,73.730,-38.086,0.000
1587068788.964,-41.992,359.863,108.887,-34.668,0.000
1587068788.967,-132.812,-193.848,-256.836,-43.457,0.000
1587068788.971,-76.172,-319.336,-363.281,-44.922,0.000
1587068788.975,23.926,107.910,-5.859,-46.387,0.000
1587068788.979,-1.465,296.387,95.215,-24.902,0.000
1587068788.983,-97.168,-153.320,-289.062,-16.113,0.000
1587068788.987,-89.844,-459.961,-400.879,-31.738,0.000
1587068788.991,5.859,209.961,64.941,-58.594,0.000
1587068788.995,30.273,681.641,266.602,-55.176,0.000
1587068788.999,-76.172,-70.801,-206.543,-33.691,0.000
1587068789.003,-120.117,-771.484,-575.195,-38.086,0.000
1587068789.007,-13.672,-64.453,-79.590,-43.945,0.000
1587068789.010,38.086,698.730,322.754,-29.297,0.000
1587068789.014,-61.523,111.816,-140.625,-19.531,0.000
1587068789.018,-121.582,-754.883,-637.207,-28.809,0.000
1587068789.022,-46.875,-373.047,-335.938,-40.039,0.000
1587068789.026,31.738,360.352,140.137,-36.133,0.000
1587068789.030,-9.766,20.020,-97.168,-9.277,0.000
1587068789.034,-112.793,-733.887,-560.059,-20.996,0.000
1587068789.038,-80.566,-179.688,-171.875,-47.852,0.000
1587068789.042,34.180,508.301,189.453,-42.969,0.000
1587068789.046,2.441,358.887,75.684,-32.227,0.000
1587068789.050,-110.352,-240.723,-291.016,-39.551,0.000
1587068789.053,-120.117,-265.137,-307.617,-76.172,0.000
1587068789.057,-10.254,246.582,8.789,-68.359,0.000
1587068789.061,34.180,320.312,120.117,-32.715,0.000
1587068789.065,-80.078,-8.789,-96.680,-32.715,0.000
1587068789.069,-140.625,-413.086,-416.992,-62.012,0.000
1587068789.073,-29.785,-138.672,-158.203,-65.430,0.000
1587068789.077,53.223,-53.711,-94.727,-25.391,0.000
1587068789.081,-35.645,-186.035,-255.371,-8.789,0.000
